s.area s.perimeter s.radius.mean s.radius.sd s.radius.min s.radius.max
12 10 1.46832385059276 0.306635075913475 1.11803398874989 1.80277563773199
36 20 3.01375925832169 0.874502791808194 1.45 4.13551689635044
24 16 2.35337995807827 0.699247111481698 1.1875 3.22647737478508
59 24 3.90447899940691 0.663933454556457 2.65001310269297 4.96882643197678
73 43 4.34832342138102 1.65415095631947 1.46511627906977 7.15168271885682
134 50 5.54094065454833 2.29346390047315 0.733484832835691 8.58941208698244
41 19 3.16437992537224 0.264201023798079 2.67956253923323 3.63767604118473
138 55 6.68281297427239 2.60206736126288 1.02077591619042 10.3680532852421
37 21 3.06556129817557 0.947163400700733 1.0647942749999 4.32495264939411
19 13 1.98697656442969 0.333310260928636 1.39313617509806 2.56051030416819
38 20 3.14641434813394 0.798484032311763 1.79234483289349 4.31422067122209
62 26 4.01098673531842 0.759069557110321 2.7716335729533 5.58063536922637
22 14 2.19420205811334 0.330070774117112 1.4655917520488 2.87937776724948
27 15 2.47145201443096 0.310434187565729 1.89619502044372 2.98812464413533
45 20 3.34906755049899 0.348204741775125 2.70416345659799 3.91311896062463
64 34 4.16892430895209 1.59768459271078 0.692270723290576 6.37156855202459
50 26 3.67535044312206 1.1975419878026 1.11803398874989 5.70593483205796
38 20 3.00224623005134 0.462620334769779 2.10297408448131 3.69086710679211
16 12 1.76119933457601 0.25464400750007 1.58113883008419 2.12132034355964
19 13 1.98697656442969 0.333310260928636 1.39313617509807 2.56051030416819
131 41 6.00308537297527 0.964493330667034 3.9396095616086 7.60510333057018
28 16 2.51290407073507 0.350447044905641 1.82002747232013 3.05163890393343
16 12 1.76119933457601 0.25464400750007 1.58113883008419 2.12132034355964
57 32 4.37706311213183 1.93359236911891 1.00438491749926 7.52969382262652
243 93 9.6255804272866 4.53465980873704 0.754988803507177 17.7978525805929
31 17 2.69936300413078 0.513431964636665 1.65648562827397 3.57809560605777
25 15 2.40139326949307 0.434587069284079 1.64654520469713 3.21109188767794
227 56 8.01658731160287 1.39900796409857 4.66468085178179 10.3824352506863
49 22 3.55623498127202 0.69672387854577 2.18560277821297 4.83872122988046
125 52 6.74237652600077 2.92567762251151 0.571771874896861 11.2873312237148
23 15 2.22764517146664 0.336381547646277 1.65058912041866 2.88521133445099
12 10 1.46832385059276 0.306635075913475 1.11803398874989 1.80277563773199
15 11 1.71680607651965 0.24666041116305 1.41128860875091 2.13006809342909
183 82 10.3694185301568 5.47588096788096 1.04863867447344 20.1488881045602
15 12 1.71676051329096 0.468401544266904 1 2.23606797749979
32 18 2.80920444130836 0.669235817759978 1.79333471017433 3.9007754847871
31 17 2.69002902155642 0.346619744485583 2.09959627030291 3.30722183455779
23 14 2.23361843772962 0.26865063638529 1.71428571428572 2.63415555922654
49 27 3.90110016448709 1.48409647097857 0.89504044248848 6.24093306660456
80 34 4.71661436072659 1.69803025816821 1.49103433595725 7.23469629285342
18 13 1.93255035652896 0.3832830862607 1.31671098220182 2.51974451602449
