line	4	28	p	p.adj	p.format	p.signif	method
100	1.11573611486561	1.1611097369408	0.951142109153365	1	0.9511	ns	Wilcoxon
176	-2.07811682891949	-1.4102468543695	0.406344451378776	1	0.4063	ns	Wilcoxon
195	1.78066963724817	0.925548421627848	0.0700154192196504	1	0.0700	ns	Wilcoxon
208	1.17304695932421	2.32045542124146	0.00147360701297666	0.035	0.0015	**	Wilcoxon
318	1.43136395436023	2.30457208125008	0.43201745182287	1	0.4320	ns	Wilcoxon
32	-2.18922588639073	-0.0117069465736156	0.00631373510100642	0.14	0.0063	**	Wilcoxon
324	-0.0875360820876839	-1.05656566084314	0.0944057492768302	1	0.0944	ns	Wilcoxon
362	0.678543337170438	0.577767300330955	0.420711524657462	1	0.4207	ns	Wilcoxon
397	-1.35300641798188	-2.29848913326855	0.472047607879002	1	0.4720	ns	Wilcoxon
48	0.292768657062486	0.518925925716867	0.598973535781828	1	0.5990	ns	Wilcoxon
491	-0.78401955303978	0.338726085563656	0.00645358717253499	0.14	0.0065	**	Wilcoxon
530	-1.29170341115062	-2.14338228223326	0.089554409560501	1	0.0896	ns	Wilcoxon
551	3.45165365172124	3.2517262934917	0.855569551339859	1	0.8556	ns	Wilcoxon
589	0.610871795199331	-0.712953245769255	0.00399904024781253	0.092	0.0040	**	Wilcoxon
596	0.617317074834819	-0.328682452540938	0.0433456391040739	0.76	0.0433	*	Wilcoxon
630	0.305660834164964	1.65622954222971	0.00866395172666172	0.17	0.0087	**	Wilcoxon
634	1.51352782675666	1.76002982804671	0.403199137058811	1	0.4032	ns	Wilcoxon
705	-1.7594053751978	-1.5506331164946	1	1	1.0000	ns	Wilcoxon
714	-3.09384782652409	-3.30631622243193	0.744324754548724	1	0.7443	ns	Wilcoxon
776	-2.37645257219751	-3.05068073331258	0.0398441299087791	0.76	0.0398	*	Wilcoxon
801	1.02508682912588	1.43707411176395	0.709414867218238	1	0.7094	ns	Wilcoxon
879	-2.49978866157388	-1.87437467863297	0.0417011262290422	0.76	0.0417	*	Wilcoxon
882	-3.14236842985185	-2.96989608456694	0.756569146849556	1	0.7566	ns	Wilcoxon
913	0.433459395609534	1.11902555952319	0.0459466530204253	0.76	0.0459	*	Wilcoxon
