rank	line	number.of.images	eye.score
1	441	87	-5.13886381924829
2	908	13	-3.64592906546905
3	714	58	-3.53066340158919
4	303	27	-3.04401857538741
5	882	72	-2.8192054848894
6	776	77	-2.74943356047024
7	397	51	-2.31142503669443
8	301	41	-2.28831910634444
9	531	19	-1.95424686833084
10	737	34	-1.94305229001767
11	176	17	-1.8611280813094
12	530	102	-1.84787795539999
13	879	62	-1.78951510463229
14	705	39	-1.64297336630786
15	390	36	-1.6303445302235
16	861	35	-1.56774725492445
17	386	33	-1.54474726308054
18	357	11	-1.4321728256982
19	383	38	-1.26245301607308
20	324	66	-1.18118107689413
21	129	43	-1.16949581321236
22	517	32	-1.16853406166894
23	356	26	-1.16174496477822
24	732	19	-1.13227786539433
25	136	40	-1.09936260846572
26	237	59	-1.06640014797648
27	535	14	-0.972626205507326
28	350	10	-0.943289437401297
29	822	14	-0.791801459784075
30	229	31	-0.73628448318943
31	370	19	-0.705069184331608
32	589	77	-0.658971507097271
33	320	31	-0.656874895692772
34	360	33	-0.629852425052648
35	382	14	-0.624234998590686
36	310	26	-0.623578105830247
37	181	23	-0.549689402595445
38	907	10	-0.524425138250989
39	379	15	-0.51566663729939
40	358	24	-0.504716455066679
41	513	10	-0.50044534479601
42	787	21	-0.440300590799678
43	321	19	-0.435490154442082
44	142	13	-0.427585379812961
45	505	10	-0.407515174750102
46	149	75	-0.399050576243766
47	373	19	-0.396251057831841
48	843	17	-0.385599608653597
49	28	14	-0.371707168564804
50	596	36	-0.361506064284213
51	228	23	-0.334104418189511
52	32	233	-0.324410118071929
53	738	10	-0.286093394812021
54	832	10	-0.246672985973089
55	85	34	-0.242016291427295
56	177	30	-0.23415728465438
57	91	33	-0.204608145460243
58	101	26	-0.142706350753901
59	783	14	-0.131011323606188
60	391	25	-0.123592580332719
61	38	25	-0.110880255716033
62	712	47	-0.106400379138585
63	890	14	-0.0913788322237799
64	41	25	-0.0538450675529791
65	486	10	-0.0523802374612236
66	239	31	-0.0480048420632298
67	348	37	-0.0479635152780689
68	440	21	-0.0350452596896154
69	563	36	-0.0268572507224191
70	69	12	-0.0191808860870125
71	392	18	-0.0152135597264055
72	313	13	0.0020434082991296
73	774	20	0.0143638117533654
74	808	12	0.016734694440016
75	336	10	0.0403489137739171
76	595	20	0.041279306656881
77	381	36	0.0456126439988659
78	892	11	0.0464145175099843
79	627	25	0.0514784043196472
80	818	20	0.0700523309837283
81	335	10	0.0913952252747796
82	385	23	0.0913978601640658
83	439	15	0.118374138349279
84	45	31	0.150555155459381
85	427	19	0.1579601188546
86	406	15	0.164106436132462
87	109	18	0.174840577993482
88	802	22	0.189712005508573
89	703	10	0.223470827511029
90	721	16	0.237027011830318
91	805	17	0.265996019409343
92	761	20	0.268387130329837
93	395	28	0.275500955413157
94	75	45	0.281152011601695
95	59	29	0.308737620894363
96	317	35	0.30884101370129
97	426	20	0.371816714786762
98	309	28	0.379580928216905
99	319	35	0.383575417212164
100	332	10	0.42591383708791
101	256	20	0.44213683159716
102	93	28	0.448598355710284
103	189	11	0.453988598617368
104	443	41	0.454413613107378
105	409	12	0.472226366986791
106	437	18	0.478408426163528
107	730	10	0.491550998220659
108	639	17	0.491583184842368
109	367	10	0.494813219102706
110	48	69	0.548375142450865
111	371	10	0.554193396132547
112	361	39	0.556532897214212
113	812	20	0.564044802867681
114	853	31	0.566542947011221
115	287	19	0.568038301680419
116	584	19	0.57641262206991
117	491	65	0.578391259071851
118	21	56	0.589244276087949
119	57	12	0.619017026746543
120	405	18	0.629578223757711
121	161	62	0.642874401849324
122	26	24	0.675626926532254
123	804	11	0.675804085511719
124	555	14	0.680234977848941
125	859	33	0.691991781938824
126	559	18	0.692463119004361
127	820	10	0.712092734408443
128	502	13	0.715922981618789
129	359	20	0.740949346183114
130	138	12	0.78024083681735
131	528	47	0.792891943477077
132	354	10	0.79994299856226
133	819	13	0.804110966481257
134	362	85	0.830231837191409
135	375	24	0.903435075375303
136	73	30	0.967907444021466
137	153	36	0.970324669218745
138	796	13	0.973485065870194
139	821	11	0.978684677631544
140	355	28	1.0407443872421
141	566	39	1.04600461772715
142	195	82	1.07816668514787
143	377	18	1.09936754007619
144	380	17	1.1150828164779
145	31	81	1.12723865876406
146	88	62	1.13311451961532
147	100	91	1.16089917801611
148	716	55	1.28020421938257
149	913	56	1.30226027906031
150	399	14	1.46379470809241
151	235	72	1.50093862146187
152	801	51	1.50769934921973
153	280	44	1.60231571998173
154	630	51	1.60723970988687
155	850	43	1.61083993477998
156	748	40	1.66857927066621
157	83	11	1.67580067819195
158	634	43	1.69506066986518
159	365	37	1.84131927254178
160	306	15	2.28175337705843
161	318	54	2.39002807284468
162	208	69	2.45013076768945
163	158	26	2.678076501459
164	551	107	3.81375075821397
