score	df.info.line	df.info.class
group10.day28.R32.Ral_100_1	0.246163913777315	100	line
group10.day28.R32.Ral_100_2	1.14423812004255	100	line
group10.day28.R32.Ral_100_3	3.46026916360151	100	line
group10.day28.R32.Ral_100_4	2.73726873955556	100	line
group10.day28.R32.Ral_100_5	-0.0664936484983774	100	line
group18.day28.R32.RAL_100_1	4.56001390957091	100	line
group18.day28.R32.RAL_100_10	5.1088494907449	100	line
group18.day28.R32.RAL_100_2	0.555343084241514	100	line
group18.day28.R32.RAL_100_3	3.0527782094395	100	line
group18.day28.R32.RAL_100_4	-0.967808529646137	100	line
group18.day28.R32.RAL_100_5	4.11571221707329	100	line
group18.day28.R32.RAL_100_6	5.21692888147873	100	line
group18.day28.R32.RAL_100_7	1.78815920232269	100	line
group18.day28.R32.RAL_100_8	1.3886477718886	100	line
group18.day28.R32.RAL_100_9	0.430291919017536	100	line
group3.day28.R32.Ral_100_1	0.309463654396033	100	line
group3.day28.R32.Ral_100_10	-0.341034159359856	100	line
group3.day28.R32.Ral_100_11	-1.10137587265041	100	line
group3.day28.R32.Ral_100_12	0.335961199091708	100	line
group3.day28.R32.Ral_100_13	0.880461978676695	100	line
group3.day28.R32.Ral_100_14	-2.66502838655867	100	line
group3.day28.R32.Ral_100_15	1.39396404056934	100	line
group3.day28.R32.Ral_100_2	-0.89319320316873	100	line
group3.day28.R32.Ral_100_3	3.0767179558912	100	line
group3.day28.R32.Ral_100_4	0.935052942887621	100	line
group3.day28.R32.Ral_100_5	1.59832960138033	100	line
group3.day28.R32.Ral_100_6	4.13999362637523	100	line
group3.day28.R32.Ral_100_7	2.81819386160245	100	line
group3.day28.R32.Ral_100_8	1.5860349018557	100	line
group3.day28.R32.Ral_100_9	-0.140822125785379	100	line
group10.day28.R32.Ral_101_1	4.03520708070304	101	line
group10.day28.R32.Ral_101_2	-0.552504513988447	101	line
group10.day28.R32.Ral_101_3	-1.62206511122447	101	line
group10.day28.R32.Ral_101_4	-0.0492939001762468	101	line
group10.day28.R32.Ral_101_5	0.528168796635259	101	line
group10.day28.R32.Ral_101_6	0.819414464163647	101	line
group10.day28.R32.Ral_101_7	3.68614590551079	101	line
group18.day28.R32.Ral_101_1	-2.04135044217752	101	line
group18.day28.R32.Ral_101_2	-1.61046208454545	101	line
group18.day28.R32.Ral_101_3	-0.150020683960855	101	line
group18.day28.R32.Ral_101_4	2.00903012422439	101	line
group18.day28.R32.RAL_101_5	2.32182475934247	101	line
group18.day28.R32.RAL_101_6	1.10204902194931	101	line
group18.day28.R32.RAL_101_7	-1.30819894720113	101	line
group18.day28.R32.RAL_101_8	3.73606608586795	101	line
group18.day28.R32.RAL_101_9	-2.86611079436386	101	line
group8.day28.R32.Ral_101_1	-6.38864270149988	101	line
group8.day28.R32.Ral_101_10	-0.135392017546948	101	line
group8.day28.R32.Ral_101_2	-3.76577795502432	101	line
group8.day28.R32.Ral_101_3	-0.809018376707165	101	line
group8.day28.R32.Ral_101_4	1.14149237593567	101	line
group8.day28.R32.Ral_101_5	-1.24839520130451	101	line
group8.day28.R32.Ral_101_6	2.79030229527281	101	line
group8.day28.R32.Ral_101_7	5.34200816366724	101	line
group8.day28.R32.Ral_101_8	-4.51664034378182	101	line
group8.day28.R32.Ral_101_9	-3.38035506942719	101	line
group10.day28.R32.Ral_109_1	-1.28734736264264	109	line
group10.day28.R32.Ral_109_2	0.54654537626663	109	line
group10.day28.R32.Ral_109_3	-0.474513782034669	109	line
group10.day28.R32.Ral_109_4	-1.69125936508127	109	line
group10.day28.R32.Ral_109_5	4.02695655898757	109	line
group10.day28.R32.Ral_109_6	1.70756577053895	109	line
group10.day28.R32.Ral_109_7	-2.87868422063246	109	line
group12.day28.R32.Ral_109_1	-0.614378252021416	109	line
group12.day28.R32.Ral_109_10	-1.36708852745467	109	line
group12.day28.R32.Ral_109_2	1.96125271033626	109	line
group12.day28.R32.Ral_109_3	0.136823423759382	109	line
group12.day28.R32.Ral_109_4	3.61951115404607	109	line
group12.day28.R32.Ral_109_5	2.51531742521748	109	line
group12.day28.R32.Ral_109_6	3.56194968472116	109	line
group12.day28.R32.Ral_109_7	0.329722575254347	109	line
group12.day28.R32.Ral_109_8	-0.937110369574414	109	line
group12.day28.R32.Ral_109_9	0.212857732227581	109	line
group8.day28.R32.Ral_109_2	-1.39807704626714	109	line
group12.day28.R32.Ral_129_1	0.325681239261964	129	line
group12.day28.R32.Ral_129_10	2.20613783580053	129	line
group12.day28.R32.Ral_129_2	-1.294636098576	129	line
group12.day28.R32.Ral_129_3	-3.72802953949748	129	line
group12.day28.R32.Ral_129_4	0.175429875813357	129	line
group12.day28.R32.Ral_129_5	0.136004045829122	129	line
group12.day28.R32.Ral_129_6	-2.51257654160962	129	line
group12.day28.R32.Ral_129_7	0.101653552161559	129	line
group12.day28.R32.Ral_129_8	-1.0664102829782	129	line
group12.day28.R32.Ral_129_9	-1.73445253035791	129	line
group4.day28.R32.Ral_129_10	-1.51445633335815	129	line
group11.day28.R32.Ral_136_1	-0.0455285144172017	136	line
group11.day28.R32.Ral_136_10	-4.93443054491836	136	line
group11.day28.R32.Ral_136_2	0.25619094602979	136	line
group11.day28.R32.Ral_136_3	-4.53262685629056	136	line
group11.day28.R32.Ral_136_4	-0.199631286131849	136	line
group11.day28.R32.Ral_136_5	-2.58175795227627	136	line
group11.day28.R32.Ral_136_6	-4.4403627768247	136	line
group11.day28.R32.Ral_136_7	-3.80137631372309	136	line
group11.day28.R32.Ral_136_8	0.698916175741303	136	line
group11.day28.R32.Ral_136_9	-3.57589852102911	136	line
group18.day28.R32.Ral_136_1	-2.72032976519729	136	line
group18.day28.R32.RAL_136_10	1.2003809234705	136	line
group18.day28.R32.Ral_136_2	-3.16401135685918	136	line
group18.day28.R32.Ral_136_3	0.594207630313611	136	line
group18.day28.R32.Ral_136_4	-2.33772530533107	136	line
group18.day28.R32.Ral_136_5	-7.19976825133652	136	line
group18.day28.R32.Ral_136_6	-4.17069696714756	136	line
group18.day28.R32.Ral_136_7	0.659154307765058	136	line
group18.day28.R32.Ral_136_8	-0.983096182717027	136	line
group18.day28.R32.Ral_136_9	-0.779177919926681	136	line
group19.day28.R32.Ral_136_1	-1.29981692618584	136	line
group19.day28.R32.Ral_136_2	-0.237142702433493	136	line
group19.day28.R32.Ral_136_3	0.505686934409374	136	line
group19.day28.R32.Ral_136_4	2.18147262267308	136	line
group19.day28.R32.Ral_136_5	1.49469458524248	136	line
group19.day28.R32.Ral_136_6	-1.23289765505593	136	line
group19.day28.R32.Ral_136_7	-3.74238287826404	136	line
group19.day28.R32.Ral_136_8	-1.08225539120899	136	line
group19.day28.R32.Ral_136_9	4.52120903952339	136	line
Group19.day29.R32.Ral_136_10	-0.539888689642255	136	line
group4.day28.R32.Ral_136_1	-1.18240301137451	136	line
group4.day28.R32.Ral_136_10	-3.06746944128193	136	line
group4.day28.R32.Ral_136_2	0.51762068247206	136	line
group4.day28.R32.Ral_136_3	-1.11646982572244	136	line
group4.day28.R32.Ral_136_4	-4.1912435591004	136	line
group4.day28.R32.Ral_136_5	-0.362864399898048	136	line
group4.day28.R32.Ral_136_6	-2.42428120290037	136	line
group4.day28.R32.Ral_136_7	-0.701334253229387	136	line
group4.day28.R32.Ral_136_8	1.31252323359413	136	line
group4.day28.R32.Ral_136_9	-3.49524596742029	136	line
group16.day28.R32.Ral_138_1	2.0308523544846	138	line
group16.day28.R32.Ral_138_10	0.839301429268422	138	line
group16.day28.R32.Ral_138_2	5.41015062717062	138	line
group16.day28.R32.Ral_138_3	0.721180244366278	138	line
group16.day28.R32.Ral_138_4	0.926949872973895	138	line
group16.day28.R32.Ral_138_5	1.71826067343502	138	line
group16.day28.R32.Ral_138_6	-4.15441541394887	138	line
group16.day28.R32.Ral_138_7	-0.00855782367889474	138	line
group16.day28.R32.Ral_138_8	0.00189986706872757	138	line
group16.day28.R32.Ral_138_9	3.24597023894331	138	line
group24.day28.R32.Ral_138_1	-2.48854979625338	138	line
group24.day28.R32.Ral_138_2	-1.23190501715194	138	line
group25.day28.R32.Ral_142_11	-0.323152812221297	142	line
group25.day28.R32.Ral_142_12	0.980228666403491	142	line
group3.day28.R32.Ral_142_1	-1.3528237408279	142	line
group4.day28.R32.Ral_142_1	-2.86528977384435	142	line
group4.day28.R32.Ral_142_10	-3.22264914943709	142	line
group4.day28.R32.Ral_142_2	-2.46850741447536	142	line
group4.day28.R32.Ral_142_3	2.38762968520961	142	line
group4.day28.R32.Ral_142_4	0.0797142264337703	142	line
group4.day28.R32.Ral_142_5	-1.58227766723403	142	line
group4.day28.R32.Ral_142_6	-1.18091346141122	142	line
group4.day28.R32.Ral_142_7	-0.427585379812961	142	line
group4.day28.R32.Ral_142_8	1.62907891087933	142	line
group4.day28.R32.Ral_142_9	0.320571513235495	142	line
group10.day28.R32.Ral_149_1	-1.51220647023841	149	line
group10.day28.R32.Ral_149_10	0.0357933830385678	149	line
group10.day28.R32.Ral_149_2	-0.555824085623341	149	line
group10.day28.R32.Ral_149_3	1.7437791903953	149	line
group10.day28.R32.Ral_149_4	-1.56606193127974	149	line
group10.day28.R32.Ral_149_5	-3.46827754845651	149	line
group10.day28.R32.Ral_149_6	-3.37324908652754	149	line
group10.day28.R32.Ral_149_7	2.55611467434898	149	line
group10.day28.R32.Ral_149_8	0.213022051452886	149	line
group10.day28.R32.Ral_149_9	3.39664871624558	149	line
group11.day28.R32.Ral_149_1	-1.67374755992118	149	line
group11.day28.R32.Ral_149_10	-2.39527692572064	149	line
group11.day28.R32.Ral_149_2	-0.174102142886971	149	line
group11.day28.R32.Ral_149_3	-1.81665036420984	149	line
group11.day28.R32.Ral_149_4	-0.903041587576769	149	line
group11.day28.R32.Ral_149_5	-0.664564957634875	149	line
group11.day28.R32.Ral_149_6	1.1860788346571	149	line
group11.day28.R32.Ral_149_7	-3.22251449904372	149	line
group11.day28.R32.Ral_149_8	3.53558775135038	149	line
group11.day28.R32.Ral_149_9	-3.6001880432575	149	line
group3.day28.R32.Ral_149_1	-0.150609255927527	149	line
group3.day28.R32.Ral_149_10	-0.191107512075014	149	line
group3.day28.R32.Ral_149_11	-0.494679272864061	149	line
group3.day28.R32.Ral_149_12	-0.0639270691964217	149	line
group3.day28.R32.Ral_149_13	-0.399050576243766	149	line
group3.day28.R32.Ral_149_14	1.8277246561327	149	line
group3.day28.R32.Ral_149_15	-0.484232271638034	149	line
group3.day28.R32.Ral_149_2	1.8925394359975	149	line
group3.day28.R32.Ral_149_3	3.48203546666172	149	line
group3.day28.R32.Ral_149_4	-0.358137262531705	149	line
group3.day28.R32.Ral_149_5	-1.79346038713951	149	line
group3.day28.R32.Ral_149_6	1.15054292613207	149	line
group3.day28.R32.Ral_149_7	-2.2402748147781	149	line
group3.day28.R32.Ral_149_8	-0.105132390505884	149	line
group3.day28.R32.Ral_149_9	2.30544659710982	149	line
group10.day28.R32.Ral_153_1	0.984722270995971	153	line
group10.day28.R32.Ral_153_10	3.71327057225026	153	line
group10.day28.R32.Ral_153_11	1.75088412075376	153	line
group10.day28.R32.Ral_153_2	3.9035425035132	153	line
group10.day28.R32.Ral_153_3	-3.04562072694362	153	line
group10.day28.R32.Ral_153_4	-0.687608968077796	153	line
group10.day28.R32.Ral_153_5	1.13531768625388	153	line
group10.day28.R32.Ral_153_6	1.78087367006606	153	line
group10.day28.R32.Ral_153_7	0.391274753680335	153	line
group10.day28.R32.Ral_153_8	2.38264593074514	153	line
group10.day28.R32.Ral_153_9	0.0863310741434876	153	line
group18.day28.R32.RAL_153_1	-0.646499359159284	153	line
group18.day28.R32.Ral_153_10	4.27540453766687	153	line
group18.day28.R32.RAL_153_2	3.768014007059	153	line
group18.day28.R32.RAL_153_3	-2.32117295474363	153	line
group18.day28.R32.RAL_153_4	-3.80966241152859	153	line
group18.day28.R32.RAL_153_5	2.99779831471476	153	line
group18.day28.R32.RAL_153_6	-3.11484639134731	153	line
group18.day28.R32.RAL_153_7	-0.583782792891023	153	line
group18.day28.R32.RAL_153_8	-1.62062432817305	153	line
group18.day28.R32.Ral_153_9	-0.484293284501017	153	line
group3.day28.R32.Ral_153_1	5.48426639814306	153	line
group3.day28.R32.Ral_153_10	0.95592706744152	153	line
group3.day28.R32.Ral_153_11	2.83596068538864	153	line
group3.day28.R32.Ral_153_12	2.18339779163978	153	line
group3.day28.R32.Ral_153_13	-0.539371783143948	153	line
group3.day28.R32.Ral_153_14	-0.37920881730966	153	line
group3.day28.R32.Ral_153_15	-1.99371825907106	153	line
group3.day28.R32.Ral_153_2	4.54509285704583	153	line
group3.day28.R32.Ral_153_3	1.27968368657818	153	line
group3.day28.R32.Ral_153_4	2.6321975215151	153	line
group3.day28.R32.Ral_153_5	0.145653979699696	153	line
group3.day28.R32.Ral_153_6	1.11796312234372	153	line
group3.day28.R32.Ral_153_7	-0.426686091572378	153	line
group3.day28.R32.Ral_153_8	1.1610555379713	153	line
group3.day28.R32.Ral_153_9	-0.523019071455684	153	line
group18.day28.R32.RAL_158_1	2.68651195337064	158	line
group18.day28.R32.RAL_158_10	0.553900485212734	158	line
group18.day28.R32.RAL_158_11	1.45783689000601	158	line
group18.day28.R32.RAL_158_12	-2.20824062320062	158	line
group18.day28.R32.RAL_158_13	2.87467900465897	158	line
group18.day28.R32.RAL_158_14	3.93054727133272	158	line
group18.day28.R32.RAL_158_15	1.89757181393209	158	line
group18.day28.R32.RAL_158_16	4.29857302377393	158	line
group18.day28.R32.RAL_158_2	-1.21231481543854	158	line
group18.day28.R32.RAL_158_3	-2.96019639320819	158	line
group18.day28.R32.RAL_158_4	-5.07126930609186	158	line
group18.day28.R32.RAL_158_5	-3.92099548367678	158	line
group18.day28.R32.RAL_158_6	-3.83401961031797	158	line
group18.day28.R32.RAL_158_7	-1.20723847121553	158	line
group18.day28.R32.RAL_158_8	3.31405254326	158	line
group18.day28.R32.RAL_158_9	1.51426842828088	158	line
group4.day28.R32.Ral_158_1	2.66964104954735	158	line
group4.day28.R32.Ral_158_10	4.0085227954376	158	line
group4.day28.R32.Ral_158_2	8.65462997296713	158	line
group4.day28.R32.Ral_158_3	-0.206781550233931	158	line
group4.day28.R32.Ral_158_4	5.64048162684399	158	line
group4.day28.R32.Ral_158_5	4.51089686657785	158	line
group4.day28.R32.Ral_158_6	4.24794990323666	158	line
group4.day28.R32.Ral_158_7	2.69147829387769	158	line
group4.day28.R32.Ral_158_8	8.02755676187041	158	line
group4.day28.R32.Ral_158_9	4.68181352836446	158	line
group18.day28.R32.Ral_161_1	-0.274849715679852	161	line
group18.day28.R32.RAL_161_10	0.571125437958602	161	line
group18.day28.R32.Ral_161_2	1.97507658507449	161	line
group18.day28.R32.Ral_161_3	0.348111546214114	161	line
group18.day28.R32.Ral_161_4	4.18645626537134	161	line
group18.day28.R32.Ral_161_5	1.78198094627883	161	line
group18.day28.R32.RAL_161_6	1.72950773541548	161	line
group18.day28.R32.RAL_161_7	0.657125242494175	161	line
group18.day28.R32.RAL_161_8	3.13467025520038	161	line
group18.day28.R32.RAL_161_9	1.27431078396501	161	line
group19.day28.R32.Ral_161_1	3.23653425181066	161	line
group19.day28.R32.Ral_161_10	2.71483446922512	161	line
group19.day28.R32.Ral_161_2	2.21364043568855	161	line
group19.day28.R32.Ral_161_3	3.32075126300891	161	line
group19.day28.R32.Ral_161_4	-0.150799247477456	161	line
group19.day28.R32.Ral_161_5	2.50015518182497	161	line
group19.day28.R32.Ral_161_6	0.737732464664551	161	line
group19.day28.R32.Ral_161_7	3.53799459226928	161	line
group19.day28.R32.Ral_161_8	1.43352629034078	161	line
group19.day28.R32.Ral_161_9	1.86652633438539	161	line
group19.day29.R32.Ral_176_1	1.40837831870943	176	line
group19.day29.R32.Ral_176_2	2.19106361806738	176	line
group25.day28.R32.Ral_176_11	-0.833818531944374	176	line
group25.day28.R32.Ral_176_12	0.331834330793087	176	line
group25.day28.R32.Ral_176_13	-3.24974605140956	176	line
group25.day28.R32.Ral_176_14	-3.23164607606301	176	line
group25.day28.R32.Ral_176_15	-1.8611280813094	176	line
group25.day28.R32.Ral_176_16	-2.14179769907443	176	line
group25.day28.R32.Ral_176_17	0.0326839667947156	176	line
group25.day28.R32.Ral_176_18	-1.08808434409841	176	line
group4.day28.R32.Ral_176_1	0.84850163075997	176	line
group4.day28.R32.Ral_176_2	-1.92291146994284	176	line
group4.day28.R32.Ral_176_3	-3.16441185551063	176	line
group8.day28.R32.Ral_176_1	-2.43256394419623	176	line
group8.day28.R32.Ral_176_2	-3.60425196205318	176	line
group18.day28.R32.RAL_177_1	1.4492332744698	177	line
group18.day28.R32.Ral_177_10	-0.0985771415106381	177	line
group18.day28.R32.RAL_177_2	0.0413084431464257	177	line
group18.day28.R32.RAL_177_3	-2.42353428064546	177	line
group18.day28.R32.RAL_177_4	-1.95303524877772	177	line
group18.day28.R32.RAL_177_5	-1.16276501918901	177	line
group18.day28.R32.RAL_177_6	0.261769447855528	177	line
group18.day28.R32.Ral_177_7	1.11244462182455	177	line
group18.day28.R32.Ral_177_8	1.64793957495539	177	line
group18.day28.R32.Ral_177_9	1.78453349882516	177	line
group19.day28.R32.Ral_177_1	3.3624043252062	177	line
group19.day28.R32.Ral_177_10	-0.117818899694432	177	line
group19.day28.R32.Ral_177_2	-0.350495669614329	177	line
group19.day28.R32.Ral_177_3	-0.864273366137655	177	line
group19.day28.R32.Ral_177_4	-0.551823341380778	177	line
group19.day28.R32.Ral_177_5	-2.31054552330281	177	line
group19.day28.R32.Ral_177_6	1.40772218463497	177	line
group19.day28.R32.Ral_177_7	-0.553089861377634	177	line
group19.day28.R32.Ral_177_8	1.73020616527568	177	line
group19.day28.R32.Ral_177_9	-2.36545993681896	177	line
group4.day28.R32.Ral_177_1	3.89351226722391	177	line
group4.day28.R32.Ral_177_10	-0.657134764430554	177	line
group4.day28.R32.Ral_177_2	-1.61785777035208	177	line
group4.day28.R32.Ral_177_3	0.623146194448774	177	line
group4.day28.R32.Ral_177_4	4.01688739158365	177	line
group4.day28.R32.Ral_177_5	-0.861260157337225	177	line
group4.day28.R32.Ral_177_6	0.587389778438365	177	line
group4.day28.R32.Ral_177_7	-0.461753876671746	177	line
group4.day28.R32.Ral_177_8	-1.64497346856697	177	line
group4.day28.R32.Ral_177_9	-0.775689582881019	177	line
group11.day28.R32.Ral_181_1	0.60477539410814	181	line
group11.day28.R32.Ral_181_10	-1.27949824918038	181	line
group11.day28.R32.Ral_181_11	-0.624376047296941	181	line
group11.day28.R32.Ral_181_12	-0.549689402595445	181	line
group11.day28.R32.Ral_181_13	-3.61495189550551	181	line
group11.day28.R32.Ral_181_14	-1.12216530979391	181	line
group11.day28.R32.Ral_181_15	-1.76920795108574	181	line
group11.day28.R32.Ral_181_16	0.968566469592314	181	line
group11.day28.R32.Ral_181_17	-1.87244227643052	181	line
group11.day28.R32.Ral_181_18	-1.63236711224704	181	line
group11.day28.R32.Ral_181_19	2.40796730728372	181	line
group11.day28.R32.Ral_181_2	-0.0435258791276963	181	line
group11.day28.R32.Ral_181_3	-0.32487784192991	181	line
group11.day28.R32.Ral_181_4	0.735617676399977	181	line
group11.day28.R32.Ral_181_5	-2.6716724956342	181	line
group11.day28.R32.Ral_181_6	-2.39770646976403	181	line
group11.day28.R32.Ral_181_7	-1.86022318953249	181	line
group11.day28.R32.Ral_181_8	0.621089685690873	181	line
group11.day28.R32.Ral_181_9	0.155743801616828	181	line
group4.day28.R32.Ral_181_1	2.89679276052721	181	line
group4.day28.R32.Ral_181_2	1.44425426757529	181	line
group4.day28.R32.Ral_181_3	-0.0211294578725282	181	line
group4.day28.R32.Ral_181_4	-3.96587890483136	181	line
group12.day28.R32.Ral_189_1	-0.124341614925692	189	line
group12.day28.R32.Ral_189_10	2.85321388824525	189	line
group12.day28.R32.Ral_189_2	-1.32652889740214	189	line
group12.day28.R32.Ral_189_3	2.20659672677521	189	line
group12.day28.R32.Ral_189_4	0.453988598617368	189	line
group12.day28.R32.Ral_189_5	3.1346358538586	189	line
group12.day28.R32.Ral_189_6	-1.0766703697685	189	line
