FID	IID	wo	pc1	pc2	pc3	pc4
line_908	line_908	0	0.0153096	0.0203484	-0.16584	0.0555848
line_714	line_714	0	0.0232776	0.0293969	-0.186538	0.0406577
line_303	line_303	0	-0.037316	0.0328831	-0.00433443	-0.0404392
line_882	line_882	1	-0.0417108	0.022738	-0.00459229	-0.00615484
line_776	line_776	1	-0.044833	0.0225543	0.00884983	-0.00840793
line_397	line_397	1	-0.0334152	0.0172826	0.00049378	-0.0265053
line_301	line_301	0	0.0172336	0.0116524	0.0240905	-0.0346736
line_531	line_531	1	-0.0366888	0.00206337	0.000500853	-0.0345403
line_737	line_737	1	-0.0253757	0.0340912	0.0387537	0.281196
line_176	line_176	1	-0.0344962	0.013645	-0.00191473	-0.0111043
line_530	line_530	1	-0.0280928	0.00702916	0.0112746	-0.0361131
line_879	line_879	1	-0.0422008	0.0311419	0.00774097	-0.0880984
line_705	line_705	1	-0.032263	0.01263	0.00632879	-0.0147368
line_390	line_390	0	0.191152	-0.0230426	0.0520013	-0.0244145
line_861	line_861	1	0.0300312	0.0199147	-0.203365	0.0940231
line_386	line_386	0	0.146498	-0.0500588	0.137076	-0.0589241
line_357	line_357	0	-0.0270485	0.0135374	-0.00293772	-0.022559
line_383	line_383	1	0.147425	-0.0251094	0.124985	-0.0639983
line_324	line_324	0	0.0296372	0.0328463	-0.231934	0.0532903
line_129	line_129	0	-0.0367128	0.0186172	0.00963362	-0.0125239
line_517	line_517	0	-0.0383293	0.0121939	0.0012031	-0.0383071
line_356	line_356	1	-0.0399148	0.0130683	-0.00147972	0.000162458
line_732	line_732	0	-0.0364263	0.0210633	0.00795038	0.0108084
line_136	line_136	1	-0.0405704	0.0238239	0.00487415	-0.00743955
line_237	line_237	1	0.0159801	0.0111317	0.0520852	-0.00164191
line_535	line_535	1	-0.0356466	0.00933039	-0.000628669	-0.0254012
line_350	line_350	0	0.382418	-0.0554064	-0.232469	-0.0326127
line_822	line_822	1	-0.0506839	0.00138913	0.00968807	-0.0467604
line_229	line_229	0	-0.0320812	0.0219235	-0.0021865	-0.0103294
line_370	line_370	1	-0.0305749	0.00196766	0.0086503	-0.0318516
line_589	line_589	1	-0.0335071	0.0217371	-0.00199596	0.0140608
line_320	line_320	1	-0.0312433	0.00310408	0.00413557	-0.022745
line_360	line_360	1	-0.0375296	0.0153148	0.00463076	0.0335299
line_382	line_382	1	-0.0396322	0.0256838	0.00942588	-0.0201597
line_310	line_310	1	-0.0260855	-0.0015043	0.00844547	-0.0385351
line_181	line_181	1	-0.0341753	0.00956803	0.0115208	-0.0223272
line_907	line_907	0	-0.0292613	0.0418484	0.0307087	0.231383
line_379	line_379	0	-0.032503	0.0042956	0.00662612	-0.0211351
line_358	line_358	0	0.388771	-0.0594513	-0.253933	-0.0462197
line_513	line_513	1	-0.0355939	0.0144468	-0.00368918	-0.0306887
line_787	line_787	1	-0.0308982	0.040247	0.0339711	0.11072
line_321	line_321	1	-0.0133176	0.036407	0.0555064	0.260805
line_142	line_142	1	-0.0323673	0.0191517	0.00192926	-0.0187325
line_505	line_505	1	-0.0342948	0.0225715	-0.013718	-0.0287883
line_149	line_149	1	-0.0350426	0.0239761	-0.00246171	-0.0121298
line_373	line_373	0	-0.0304215	0.021253	-0.00337417	-0.0128768
line_843	line_843	0	-0.0394399	0.0265273	0.00869114	-0.0891044
line_28	line_28	0	0.0207316	0.0299031	-0.207623	0.0556038
line_596	line_596	0	-0.0420284	0.0251009	0.00296787	-0.0376575
line_228	line_228	0	-0.0331359	0.018989	0.00585499	-0.0514972
line_738	line_738	1	-0.0183294	0.0138407	-0.0563231	0.00202193
line_832	line_832	1	-0.0469218	-0.0033966	0.00858945	-0.0428616
line_85	line_85	0	0.0169126	0.0111507	0.0544563	-0.0494392
line_177	line_177	0	-0.033031	0.0184982	-0.000925158	-0.0265479
line_91	line_91	0	-0.0407835	0.00563185	-0.00928746	-0.0173811
line_101	line_101	0	0.00623676	0.0149413	0.0485211	-0.039433
line_783	line_783	1	-0.0449727	0.0398332	0.0143705	-0.00299237
line_391	line_391	0	-0.0336746	-0.00927345	0.00194468	-0.0334707
line_38	line_38	0	-0.0373625	0.0185532	-0.00543987	-0.00979947
line_712	line_712	1	0.0237286	0.0307223	-0.196144	0.147735
line_890	line_890	1	-0.0320431	0.0187416	-0.00521645	-0.0374489
line_41	line_41	0	-0.0309755	0.0126894	0.0131965	-0.00988956
line_486	line_486	1	-0.0277069	0.0110669	-0.00937253	-0.0307028
line_239	line_239	0	0.0185581	0.020139	-0.1804	0.0421732
line_348	line_348	0	0.392318	-0.0596369	-0.242051	-0.0398119
line_440	line_440	1	-0.0323927	0.0212924	-0.00580051	-0.0101997
line_563	line_563	0	0.00818809	0.0096989	0.0422927	-0.0254835
line_69	line_69	1	-0.0342666	0.00756369	-0.00268633	-0.0374862
line_392	line_392	0	-0.06725	-0.337745	-0.00145688	0.0383461
line_313	line_313	0	0.167203	-0.0325622	0.110184	-0.0830551
line_774	line_774	0	-0.0330406	0.0302931	0.0250132	0.0501207
line_808	line_808	0	-0.0345911	0.0163136	0.00883089	-0.0242326
line_336	line_336	1	0.0211901	0.00305725	0.0570843	-0.0210459
line_595	line_595	1	0.164317	-0.0397058	0.137104	-0.0850513
line_381	line_381	0	0.0221268	0.00455371	0.0576618	-0.0236489
line_892	line_892	1	-0.0356697	0.0202393	0.00427889	-0.0398415
line_627	line_627	0	0.137867	-0.0110558	0.139862	-0.00983682
line_818	line_818	1	-0.0344543	0.0232543	-0.0162589	-0.00573486
line_335	line_335	1	-0.0324905	0.00637961	0.00225757	-0.0213343
line_385	line_385	0	-0.0935163	-0.517727	-0.01413	0.0687928
line_439	line_439	0	-0.0346305	0.0177382	0.0201769	-0.0122071
line_45	line_45	0	-0.0397314	0.0193503	0.00960778	-0.0479802
line_427	line_427	0	-0.0413125	0.00749008	-0.0058882	-0.0214354
line_406	line_406	0	0.145205	-0.025553	0.132143	-0.0498607
line_109	line_109	0	0.0118302	0.00360587	0.0444353	-0.0374086
line_802	line_802	1	0.028776	0.0419216	0.106785	0.26776
line_703	line_703	0	-0.0367616	0.011758	0.000167743	-0.0292862
line_721	line_721	1	-0.0346825	0.026485	-0.000255527	-0.0488038
line_805	line_805	1	-0.0317117	0.0229276	-0.00418985	-0.0214131
line_761	line_761	1	-0.0246009	0.0169867	0.0071167	0.0100895
line_395	line_395	0	-0.0959677	-0.540575	-0.014324	0.0704161
line_75	line_75	1	-0.0421178	0.00519079	0.00417135	-0.0224991
line_59	line_59	0	0.0353416	0.0182767	-0.218029	0.0510421
line_317	line_317	1	-0.0226189	0.0137572	-0.0746104	0.00524366
line_426	line_426	0	0.0158715	0.0122108	0.053781	-0.0562738
line_309	line_309	0	-0.0389239	0.0128335	0.000894046	-0.00983617
line_319	line_319	1	-0.0416038	0.0141343	0.00772202	-0.00953779
line_332	line_332	0	-0.00870355	0.00309359	-0.0611363	-0.000275569
line_256	line_256	1	-0.0366993	0.0244591	-0.000146797	-0.0149048
line_93	line_93	0	0.163607	-0.0294606	0.13408	-0.059207
line_189	line_189	1	-0.0258479	-0.000644489	0.015518	-0.0543034
line_443	line_443	0	0.014774	0.00308037	0.0326007	-0.0389818
line_409	line_409	1	0.0297192	0.0305432	-0.0465292	0.120331
line_437	line_437	0	0.0224094	0.0261191	-0.205413	0.0593038
line_730	line_730	1	-0.0320069	0.0237154	-0.000771043	0.0240685
line_639	line_639	1	-0.025905	0.0213047	0.00136	-0.00716074
line_367	line_367	0	-0.0300099	-0.000956537	-0.00176228	-0.0312038
line_48	line_48	1	0.165341	-0.0196505	0.160055	-0.0445233
line_371	line_371	0	-0.0382829	0.00367152	0.00187175	-0.0306796
line_361	line_361	1	-0.0249346	0.0206396	-0.00334105	-0.0301593
line_812	line_812	0	0.0197457	0.00961303	0.0374173	-0.030008
line_853	line_853	1	-0.0517497	0.0363693	0.0131766	0.0429683
line_287	line_287	1	-0.0270571	0.00560452	0.00543155	-0.0230455
line_584	line_584	1	0.137737	0.0281144	0.183633	0.310733
line_491	line_491	0	-0.0361504	0.0163072	0.00223773	-0.0281728
line_21	line_21	1	-0.00850868	0.0133121	-0.0359543	-0.0306426
line_57	line_57	0	-0.0360861	0.0155247	-0.00426522	-0.0325896
line_405	line_405	1	0.0129852	0.00568781	0.0559055	-0.056566
line_161	line_161	0	0.180938	-0.0368059	0.125689	-0.060182
line_26	line_26	0	0.132767	-0.030875	0.139276	-0.0450429
line_804	line_804	1	-0.0321521	0.0176585	-0.00711826	-0.0433067
line_555	line_555	1	0.016969	0.0201199	-0.173072	0.0331321
line_859	line_859	1	-0.0548817	0.0369442	0.000383218	0.0616044
line_559	line_559	0	-0.0199598	0.0181656	-0.059742	0.0224466
line_820	line_820	1	0.0146426	0.0130454	-0.159623	0.0341775
line_502	line_502	0	0.0170972	0.00338831	0.0485649	-0.0121787
line_359	line_359	0	0.156805	-0.0203162	0.14509	-0.057955
line_138	line_138	0	-0.0323887	0.00901717	0.00797335	-0.0371084
line_528	line_528	1	0.0190222	0.00644436	0.0558496	-0.0350353
line_354	line_354	0	-0.0534568	0.0178202	0.00818082	-0.191856
line_819	line_819	1	-0.0205847	0.0415289	-0.0126403	0.149367
line_362	line_362	1	-0.039058	0.0119997	0.000476186	-0.0116656
line_375	line_375	0	-0.0286884	0.0120325	-0.00984155	-0.0245049
