FID	IID	score
line_908	line_908	3.64592906546905
line_714	line_714	3.53066340158919
line_303	line_303	3.04401857538741
line_882	line_882	2.8192054848894
line_776	line_776	2.74943356047024
line_397	line_397	2.31142503669443
line_301	line_301	2.28831910634444
line_531	line_531	1.95424686833084
line_737	line_737	1.94305229001767
line_176	line_176	1.8611280813094
line_530	line_530	1.84787795539999
line_879	line_879	1.78951510463229
line_705	line_705	1.64297336630786
line_390	line_390	1.6303445302235
line_861	line_861	1.56774725492445
line_386	line_386	1.54474726308054
line_357	line_357	1.4321728256982
line_383	line_383	1.26245301607308
line_324	line_324	1.18118107689413
line_129	line_129	1.16949581321236
line_517	line_517	1.16853406166894
line_356	line_356	1.16174496477822
line_732	line_732	1.13227786539433
line_136	line_136	1.09936260846572
line_237	line_237	1.06640014797648
line_535	line_535	0.972626205507326
line_350	line_350	0.943289437401297
line_822	line_822	0.791801459784075
line_229	line_229	0.73628448318943
line_370	line_370	0.705069184331608
line_589	line_589	0.658971507097271
line_320	line_320	0.656874895692772
line_360	line_360	0.629852425052648
line_382	line_382	0.624234998590686
line_310	line_310	0.623578105830247
line_181	line_181	0.549689402595445
line_907	line_907	0.524425138250989
line_379	line_379	0.51566663729939
line_358	line_358	0.504716455066679
line_513	line_513	0.50044534479601
line_787	line_787	0.440300590799678
line_321	line_321	0.435490154442082
line_142	line_142	0.427585379812961
line_505	line_505	0.407515174750102
line_149	line_149	0.399050576243766
line_373	line_373	0.396251057831841
line_843	line_843	0.385599608653597
line_28	line_28	0.371707168564804
line_596	line_596	0.361506064284213
line_228	line_228	0.334104418189511
line_738	line_738	0.286093394812021
line_832	line_832	0.246672985973089
line_85	line_85	0.242016291427295
line_177	line_177	0.23415728465438
line_91	line_91	0.204608145460243
line_101	line_101	0.142706350753901
line_783	line_783	0.131011323606188
line_391	line_391	0.123592580332719
line_38	line_38	0.110880255716033
line_712	line_712	0.106400379138585
line_890	line_890	0.0913788322237799
line_41	line_41	0.0538450675529791
line_486	line_486	0.0523802374612236
line_239	line_239	0.0480048420632298
line_348	line_348	0.0479635152780689
line_440	line_440	0.0350452596896154
line_563	line_563	0.0268572507224191
line_69	line_69	0.0191808860870125
line_392	line_392	0.0152135597264055
line_313	line_313	-0.0020434082991296
line_774	line_774	-0.0143638117533654
line_808	line_808	-0.016734694440016
line_336	line_336	-0.0403489137739171
line_595	line_595	-0.041279306656881
line_381	line_381	-0.0456126439988659
line_892	line_892	-0.0464145175099843
line_627	line_627	-0.0514784043196472
line_818	line_818	-0.0700523309837283
line_335	line_335	-0.0913952252747796
line_385	line_385	-0.0913978601640658
line_439	line_439	-0.118374138349279
line_45	line_45	-0.150555155459381
line_427	line_427	-0.1579601188546
line_406	line_406	-0.164106436132462
line_109	line_109	-0.174840577993482
line_802	line_802	-0.189712005508573
line_703	line_703	-0.223470827511029
line_721	line_721	-0.237027011830318
line_805	line_805	-0.265996019409343
line_761	line_761	-0.268387130329837
line_395	line_395	-0.275500955413157
line_75	line_75	-0.281152011601695
line_59	line_59	-0.308737620894363
line_317	line_317	-0.30884101370129
line_426	line_426	-0.371816714786762
line_309	line_309	-0.379580928216905
line_319	line_319	-0.383575417212164
line_332	line_332	-0.42591383708791
line_256	line_256	-0.44213683159716
line_93	line_93	-0.448598355710284
line_189	line_189	-0.453988598617368
line_443	line_443	-0.454413613107378
line_409	line_409	-0.472226366986791
line_437	line_437	-0.478408426163528
line_730	line_730	-0.491550998220659
line_639	line_639	-0.491583184842368
line_367	line_367	-0.494813219102706
line_48	line_48	-0.548375142450865
line_371	line_371	-0.554193396132547
line_361	line_361	-0.556532897214212
line_812	line_812	-0.564044802867681
line_853	line_853	-0.566542947011221
line_287	line_287	-0.568038301680419
line_584	line_584	-0.57641262206991
line_491	line_491	-0.578391259071851
line_21	line_21	-0.589244276087949
line_57	line_57	-0.619017026746543
line_405	line_405	-0.629578223757711
line_161	line_161	-0.642874401849324
line_26	line_26	-0.675626926532254
line_804	line_804	-0.675804085511719
line_555	line_555	-0.680234977848941
line_859	line_859	-0.691991781938824
line_559	line_559	-0.692463119004361
line_820	line_820	-0.712092734408443
line_502	line_502	-0.715922981618789
line_359	line_359	-0.740949346183114
line_138	line_138	-0.78024083681735
line_528	line_528	-0.792891943477077
line_354	line_354	-0.79994299856226
line_819	line_819	-0.804110966481257
line_362	line_362	-0.830231837191409
line_375	line_375	-0.903435075375303
line_73	line_73	-0.967907444021466
line_153	line_153	-0.970324669218745
line_796	line_796	-0.973485065870194
line_821	line_821	-0.978684677631544
line_355	line_355	-1.0407443872421
line_566	line_566	-1.04600461772715
line_195	line_195	-1.07816668514787
line_377	line_377	-1.09936754007619
line_380	line_380	-1.1150828164779
line_31	line_31	-1.12723865876406
line_88	line_88	-1.13311451961532
line_100	line_100	-1.16089917801611
line_716	line_716	-1.28020421938257
line_913	line_913	-1.30226027906031
line_399	line_399	-1.46379470809241
line_235	line_235	-1.50093862146187
line_801	line_801	-1.50769934921973
line_280	line_280	-1.60231571998173
line_630	line_630	-1.60723970988687
line_850	line_850	-1.61083993477998
line_748	line_748	-1.66857927066621
line_83	line_83	-1.67580067819195
line_634	line_634	-1.69506066986518
line_365	line_365	-1.84131927254178
line_306	line_306	-2.28175337705843
line_318	line_318	-2.39002807284468
line_208	line_208	-2.45013076768945
line_158	line_158	-2.678076501459
line_551	line_551	-3.81375075821397
