genename nsnp obs ngreater nperm prop rank log log.snp
FBgn0029663 146 4.85999 1 10000 0.0001999800019998 1 3.69901343161288 2.16435285578444
FBgn0011715 20 4.60402 3 10000 0.0003999600039996 2 3.3979834359489 1.30102999566398
FBgn0266437 142 4.7582 3 10000 0.0003999600039996 2 3.3979834359489 2.15228834438306
FBgn0029067 33 4.3431 3 10000 0.0003999600039996 2 3.3979834359489 1.51851393987789
FBgn0039252 45 4.72733 4 10000 0.0004999500049995 5 3.30107342294084 1.65321251377534
FBgn0264342 68 4.57317 4 10000 0.0004999500049995 5 3.30107342294084 1.83250891270624
FBgn0265722 100 4.54992 4 10000 0.0004999500049995 5 3.30107342294084 2
FBgn0037330 16 4.21264 5 10000 0.0005999400059994 8 3.22189217689322 1.20411998265592
FBgn0032282 68 4.80204 5 10000 0.0005999400059994 8 3.22189217689322 1.83250891270624
FBgn0029974 87 4.72913 5 10000 0.0005999400059994 8 3.22189217689322 1.93951925261862
FBgn0001089 152 4.76862 6 10000 0.0006999300069993 11 3.15494538726261 2.18184358794477
FBgn0261938 166 4.67438 6 10000 0.0006999300069993 11 3.15494538726261 2.22010808804005
FBgn0264448 130 4.76862 6 10000 0.0006999300069993 11 3.15494538726261 2.11394335230684
FBgn0000339 50 4.395 7 10000 0.0007999200079992 14 3.09695344028492 1.69897000433602
FBgn0027503 48 4.50862 7 10000 0.0007999200079992 14 3.09695344028492 1.68124123737559
FBgn0031762 249 4.76862 7 10000 0.0007999200079992 14 3.09695344028492 2.39619934709574
FBgn0263121 2 3.59495 8 10000 0.0008999100089991 17 3.04580091783754 0.301029995663981
FBgn0261274 176 4.54992 9 10000 0.000999900009999 18 3.00004342727686 2.24551266781415
FBgn0035929 82 4.50764 9 10000 0.000999900009999 18 3.00004342727686 1.91381385238372
FBgn0011708 67 4.395 10 10000 0.0010998900109989 20 2.95865074211864 1.82607480270083
FBgn0024289 26 4.45188 10 10000 0.0010998900109989 20 2.95865074211864 1.41497334797082
FBgn0031617 89 4.57317 13 10000 0.0013998600139986 22 2.85391539159862 1.94939000664491
FBgn0085455 97 4.50764 14 10000 0.0014998500149985 23 2.82395216822118 1.98677173426624
FBgn0064116 23 3.77294 15 10000 0.0015998400159984 24 2.79592344462094 1.36172783601759
FBgn0064117 23 3.77294 15 10000 0.0015998400159984 24 2.79592344462094 1.36172783601759
FBgn0034191 53 4.25225 15 10000 0.0015998400159984 24 2.79592344462094 1.72427586960079
FBgn0035495 200 4.71777 15 10000 0.0015998400159984 24 2.79592344462094 2.30102999566398
FBgn0264891 56 4.30645 16 10000 0.0016998300169983 28 2.76959450589859 1.7481880270062
FBgn0028935 100 4.49684 16 10000 0.0016998300169983 28 2.76959450589859 2
FBgn0266539 7 3.73777 18 10000 0.0018998100189981 30 2.72128982632403 0.845098040014257
FBgn0025825 7 3.73777 18 10000 0.0018998100189981 30 2.72128982632403 0.845098040014257
FBgn0037486 28 4.02988 19 10000 0.001999800019998 32 2.69901343161288 1.44715803134222
FBgn0050394 58 4.21975 19 10000 0.001999800019998 32 2.69901343161288 1.76342799356294
FBgn0262393 9 3.83843 19 10000 0.001999800019998 32 2.69901343161288 0.954242509439325
FBgn0010591 95 4.25225 20 10000 0.0020997900209979 35 2.67782413254294 1.97772360528885
FBgn0020277 13 3.87518 20 10000 0.0020997900209979 35 2.67782413254294 1.11394335230684
FBgn0001624 440 4.79779 20 10000 0.0020997900209979 35 2.67782413254294 2.64345267648619
FBgn0026189 364 4.7582 20 10000 0.0020997900209979 35 2.67782413254294 2.56110138364906
FBgn0037702 65 4.36386 21 10000 0.0021997800219978 39 2.65762074645466 1.81291335664286
FBgn0051885 67 4.29763 22 10000 0.0022997700229977 40 2.63831559125927 1.82607480270083
FBgn0015338 60 4.14326 23 10000 0.0023997600239976 41 2.61983218556526 1.77815125038364
FBgn0033598 50 4.19444 23 10000 0.0023997600239976 41 2.61983218556526 1.69897000433602
FBgn0032016 76 4.12856 24 10000 0.0024997500249975 43 2.60210341860483 1.88081359228079
FBgn0267105 23 3.97668 24 10000 0.0024997500249975 43 2.60210341860483 1.36172783601759
FBgn0030598 89 4.23985 25 10000 0.0025997400259974 45 2.58507007930604 1.94939000664491
