gene	maxT	ngreater	total.permu	pvalue	rank
1	FBgn0011715	4.60402	289	1000000	0.00028999971000029	1
2	FBgn0032282	4.80204	380	1000000	0.000380999619000381	2
3	FBgn0029974	4.72913	485	1000000	0.000485999514000486	3
4	FBgn0039252	4.72733	506	1000000	0.000506999493000507	4
5	FBgn0024289	4.45188	555	1000000	0.000555999444000556	5
6	FBgn0029663	4.85999	559	1000000	0.00055999944000056	6
7	FBgn0264448	4.76862	673	1000000	0.000673999326000674	7
8	FBgn0266437	4.7582	760	1000000	0.000760999239000761	8
9	FBgn0001089	4.76862	812	1000000	0.000812999187000813	9
10	FBgn0264342	4.57317	814	1000000	0.000814999185000815	10
11	FBgn0029067	4.3431	815	1000000	0.000815999184000816	11
12	FBgn0037330	4.21264	931	1000000	0.000931999068000932	12
13	FBgn0027503	4.50862	967	1000000	0.000967999032000968	13
14	FBgn0000339	4.395	976	1000000	0.000976999023000977	14
15	FBgn0035929	4.50764	1057	1000000	0.00105799894200106	15
16	FBgn0031617	4.57317	1060	1000000	0.00106099893900106	16
17	FBgn0034191	4.25225	1073	1000000	0.00107399892600107	17
18	FBgn0265722	4.54992	1188	1000000	0.00118899881100119	18
19	FBgn0031762	4.76862	1189	1000000	0.00118999881000119	19
20	FBgn0263121	3.59495	1266	1000000	0.00126699873300127	20
21	FBgn0261274	4.54992	1280	1000000	0.00128099871900128	21
22	FBgn0261938	4.67438	1310	1000000	0.00131099868900131	22
23	FBgn0085455	4.50764	1321	1000000	0.00132199867800132	23
24	FBgn0011708	4.395	1325	1000000	0.00132599867400133	24
25	FBgn0028935	4.49684	1524	1000000	0.00152499847500152	25
26	FBgn0035495	4.71777	1639	1000000	0.00163999836000164	26
27	FBgn0037702	4.36386	1895	1000000	0.0018959981040019	27
28	FBgn0051885	4.29763	1930	1000000	0.00193099806900193	28
29	FBgn0262393	3.83843	1943	1000000	0.00194399805600194	29
30	FBgn0266539	3.73777	1961	1000000	0.00196199803800196	30
31	FBgn0025825	3.73777	1961	1000000	0.00196199803800196	31
32	FBgn0001624	4.79779	1965	1000000	0.00196599803400197	32
33	FBgn0050394	4.21975	2010	1000000	0.00201099798900201	33
34	FBgn0020277	3.87518	2035	1000000	0.00203599796400204	34
35	FBgn0010591	4.25225	2080	1000000	0.00208099791900208	35
36	FBgn0026189	4.7582	2123	1000000	0.00212399787600212	36
37	FBgn0267105	3.97668	2320	1000000	0.00232099767900232	37
38	FBgn0264891	4.30645	2326	1000000	0.00232699767300233	38
39	FBgn0033598	4.19444	2329	1000000	0.00232999767000233	39
40	FBgn0031322	4.7209	2410	1000000	0.00241099758900241	40
41	FBgn0064116	3.77294	2436	1000000	0.00243699756300244	41
42	FBgn0064117	3.77294	2436	1000000	0.00243699756300244	42
43	FBgn0033159	4.88044	2437	1000000	0.00243799756200244	43
44	FBgn0037486	4.02988	2526	1000000	0.00252699747300253	44
45	FBgn0267085	4.08055	2661	1000000	0.00266199733800266	45
46	FBgn0015338	4.14326	2684	1000000	0.00268499731500269	46
47	FBgn0035398	4.69836	2780	1000000	0.00278099721900278	47
48	FBgn0265348	4.29821	2883	1000000	0.00288399711600288	48
49	FBgn0036317	4.51603	2926	1000000	0.00292699707300293	49
50	FBgn0030598	4.23985	2999	1000000	0.002999997000003	50
51	FBgn0032016	4.12856	3007	1000000	0.00300799699200301	51
52	FBgn0033599	4.19444	3082	1000000	0.00308299691700308	52
53	FBgn0036891	3.87518	3209	1000000	0.00320999679000321	53
54	FBgn0259211	4.92589	3302	1000000	0.0033029966970033	54
55	FBgn0010473	4.88995	3542	1000000	0.00354299645700354	55
56	FBgn0010803	4.03307	3558	1000000	0.00355899644100356	56
57	FBgn0029812	4.08055	3563	1000000	0.00356399643600356	57
58	FBgn0038088	4.21512	3570	1000000	0.00357099642900357	58
59	FBgn0034724	4.54702	3632	1000000	0.00363299636700363	59
60	FBgn0032017	4.12856	3642	1000000	0.00364299635700364	60
61	FBgn0264476	4.0904	3645	1000000	0.00364599635400365	61
62	FBgn0050089	4.7956	3668	1000000	0.00366899633100367	62
63	FBgn0030556	4.11483	3707	1000000	0.00370799629200371	63
64	FBgn0265417	3.82193	3858	1000000	0.00385899614100386	64
65	FBgn0028525	4.14326	3896	1000000	0.0038969961030039	65
66	FBgn0011282	3.90741	3901	1000000	0.0039019960980039	66
67	FBgn0034127	4.0616	3939	1000000	0.00393999606000394	67
68	FBgn0037485	4.00482	3943	1000000	0.00394399605600394	68
69	FBgn0022710	4.74482	3957	1000000	0.00395799604200396	69
70	FBgn0031534	4.29288	3967	1000000	0.00396799603200397	70
71	FBgn0034400	4.28031	4047	1000000	0.00404799595200405	71
72	FBgn0261041	4.50528	4090	1000000	0.00409099590900409	72
73	FBgn0010226	4.25225	4139	1000000	0.00413999586000414	73
74	FBgn0038923	4.04033	4280	1000000	0.00428099571900428	74
75	FBgn0029532	3.65205	4294	1000000	0.00429499570500429	75
76	FBgn0263239	4.66209	4340	1000000	0.00434099565900434	76
77	FBgn0028841	4.2191	4359	1000000	0.00435999564000436	77
78	FBgn0037391	3.96163	4457	1000000	0.00445799554200446	78
79	FBgn0037569	3.91888	4472	1000000	0.00447299552700447	79
80	FBgn0033100	3.83256	4484	1000000	0.00448499551500448	80
81	FBgn0010770	4.05636	4490	1000000	0.00449099550900449	81
82	FBgn0037492	3.90741	4502	1000000	0.0045029954970045	82
83	FBgn0262167	4.23962	4514	1000000	0.00451499548500451	83
84	FBgn0036906	3.83843	4526	1000000	0.00452699547300453	84
85	FBgn0029662	4.33695	4538	1000000	0.00453899546100454	85
86	FBgn0033101	3.83256	4550	1000000	0.00455099544900455	86
87	FBgn0264566	3.89106	4632	1000000	0.00463299536700463	87
88	FBgn0003082	3.59495	4684	1000000	0.00468499531500468	88
89	FBgn0265793	4.04435	4861	1000000	0.00486199513800486	89
90	FBgn0031442	4.00546	4898	1000000	0.0048989951010049	90
91	FBgn0261616	3.66466	4960	1000000	0.00496099503900496	91
92	FBgn0029990	3.92485	4982	1000000	0.00498299501700498	92
93	FBgn0261241	4.03307	4985	1000000	0.00498599501400499	93
94	FBgn0267070	3.58579	5025	1000000	0.00502599497400503	94
95	FBgn0035426	4.02608	5056	1000000	0.00505699494300506	95
96	FBgn0260874	3.83843	5098	1000000	0.0050989949010051	96
97	FBgn0030596	4.14017	5134	1000000	0.00513499486500513	97
98	FBgn0039031	3.98372	5161	1000000	0.00516199483800516	98
99	FBgn0050363	3.7437	5182	1000000	0.00518299481700518	99
100	FBgn0050366	3.7437	5182	1000000	0.00518299481700518	100
101	FBgn0001137	3.92316	5544	1000000	0.00554499445500554	101
